Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
134.221.96.12-92.170.0.20-0-0-0,134.221.96.12,0,92.170.0.20,0,0,22/12/2025 01:55:47 PM,69155,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.841081628226455,23051.666666666664,36424.8248497276,65111.0,1857.0,4044.0,2022.0,233.3452377915607,2187.0,1857.0,0,0,0,0,0,0,0,0,0,0,0,43.38081122116984,14.460270407056614,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.11-30.161.0.20-0-0-0,134.221.96.11,0,30.161.0.20,0,0,22/12/2025 01:56:22 PM,26436001,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2269632233710386,5287200.2,1.1771798988471206E7,2.6345195E7,71.0,2.6415797E7,6603949.25,1.3160856665206976E7,2.6345195E7,71.0,0,0,0,0,0,0,0,0,0,0,0,0.1891360194758655,0.0378272038951731,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,80444.0,0.0,80444.0,80444.0,2.6345195E7,0.0,2.6345195E7,2.6345195E7,No Label
134.221.96.2-172.78.0.21-0-0-0,134.221.96.2,0,172.78.0.21,0,0,22/12/2025 01:55:20 PM,90043829,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331710827179506,4.50219145E7,2805.092600967034,4.5023898E7,4.5019931E7,4.5023898E7,4.5023898E7,0.0,4.5023898E7,4.5023898E7,0,0,0,0,0,0,0,0,0,0,0,0.02221140551453004,0.01110570275726502,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,4.50219145E7,2805.092600967034,4.5023898E7,4.5019931E7,No Label
134.221.96.8-87.187.4.214-0-0-0,134.221.96.8,0,87.187.4.214,0,0,22/12/2025 01:55:30 PM,20640,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.79844961240312,6880.0,11535.542293277764,20200.0,176.0,20376.0,10188.0,14159.106186479428,20200.0,176.0,0,0,0,0,0,0,0,0,0,0,0,145.34883720930233,48.44961240310078,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.5-93.64.0.20-0-0-0,134.221.96.5,0,93.64.0.20,0,0,22/12/2025 01:56:05 PM,19174,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.30791697089809,19174.0,0.0,19174.0,19174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.153958485449046,52.153958485449046,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.0-0.0.2.60-0-0-0,134.221.96.0,0,0.0.2.60,0,0,22/12/2025 01:56:15 PM,29548782,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06768468493895959,2.9548782E7,0.0,2.9548782E7,2.9548782E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03384234246947979,0.03384234246947979,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,2.9548782E7,0.0,2.9548782E7,2.9548782E7,No Label
134.221.96.5-12.164.4.214-0-0-0,134.221.96.5,0,12.164.4.214,0,0,22/12/2025 01:55:37 PM,156,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19230.76923076923,78.0,50.91168824543142,114.0,42.0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,0,0,0,0,0,0,0,12820.51282051282,6410.25641025641,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.0-0.0.0.70-0-0-0,134.221.96.0,0,0.0.0.70,0,0,22/12/2025 01:55:37 PM,67030275,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05967452766678937,2.2343425E7,2.2275579327806246E7,4.4550533E7,0.0,2.2479742E7,1.1239871E7,1.5895578007524041E7,2.2479742E7,0.0,0,0,0,0,0,0,0,0,0,0,0,0.04475589575009203,0.014918631916697343,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,3.35151375E7,1.5606405982251022E7,4.4550533E7,2.2479742E7,No Label
134.221.96.0-0.0.0.37-0-0-0,134.221.96.0,0,0.0.0.37,0,0,22/12/2025 01:55:30 PM,74043995,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09453838896726197,1.2340665833333334E7,1.7324959173620276E7,4.3148444E7,33267.0,3.0895551E7,6179110.2,9510888.72238282,2.2432881E7,33267.0,0,0,0,0,0,0,0,0,0,0,0,0.0810329048290817,0.013505484138180281,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,1,0,-1,-1,0,0,1342527.0,0.0,1342527.0,1342527.0,2.4161743666666668E7,1.8184013811546292E7,4.3148444E7,6903906.0,No Label
134.221.96.0-157.187.4.214-0-0-0,134.221.96.0,0,157.187.4.214,0,0,22/12/2025 01:56:22 PM,32,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,32.0,0.0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31250.0,31250.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
