Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.56.10-192.168.56.11-33724-80-6,192.168.56.10,33724,192.168.56.11,80,6,04/01/2026 12:44:38 PM,10385,3,5,230.0,209.0,230.0,0.0,76.66666666666666,132.79056191361394,209.0,0.0,41.8,93.46764145949122,42272.508425613865,770.341839191141,1483.5714285714284,1416.8590681671974,3901.0,36.0,6139.0,3069.5,1829.2852429295986,4363.0,1776.0,10385.0,2596.25,2431.054966470318,5883.0,36.0,0,0,0,0,96,176,288.8781896966779,481.46364949446314,0.0,230.0,48.77777777777778,96.93267996111759,9395.944444444447,0,1,0,0,0,0,0,0,1.0,54.875,76.66666666666667,41.8,0,0,0,0,0,0,3,230,5,209,-1,508,1,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-33730-80-6,192.168.56.10,33730,192.168.56.11,80,6,04/01/2026 12:44:38 PM,21934,3,5,227.0,208.0,227.0,0.0,75.66666666666666,131.05851110604505,208.0,0.0,41.6,93.02042786399124,19832.223944560956,364.7305553022705,3133.4285714285716,5437.072338956658,15315.0,30.0,19405.0,9702.5,7937.273618818996,15315.0,4090.0,21934.0,5483.5,7583.637847365867,16647.0,30.0,0,0,0,0,96,176,136.77395823835144,227.95659706391905,0.0,227.0,48.333333333333336,96.0260381354974,9221.0,0,1,0,0,0,0,0,0,1.0,54.375,75.66666666666667,41.6,0,0,0,0,0,0,3,227,5,208,-1,508,1,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-33736-80-6,192.168.56.10,33736,192.168.56.11,80,6,04/01/2026 12:44:38 PM,20535,2,5,236.0,211.0,236.0,0.0,118.0,166.87720036002523,211.0,0.0,42.2,94.36206865049112,21767.71365960555,340.881421962503,3422.5,5677.725803523802,14838.0,63.0,14838.0,14838.0,0.0,14838.0,14838.0,20535.0,5133.75,8239.51059934185,17443.0,66.0,0,0,0,0,64,176,97.39469198928658,243.48672997321646,0.0,236.0,55.875,103.67592019640544,10748.69642857143,0,1,0,0,0,0,0,0,2.0,63.857142857142854,118.0,42.2,0,0,0,0,0,0,2,236,5,211,-1,508,1,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-33736-80-6,192.168.56.10,33736,192.168.56.11,80,6,04/01/2026 12:44:38 PM,1541,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.8585334198572,1541.0,0.0,1541.0,1541.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,648.9292667099286,648.9292667099286,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-33738-80-6,192.168.56.10,33738,192.168.56.11,80,6,04/01/2026 12:44:38 PM,10976,2,5,233.0,210.0,233.0,0.0,116.5,164.75588001646557,210.0,0.0,42.0,93.91485505499116,40360.78717201166,637.7551020408164,1829.3333333333333,2885.5145583875797,7536.0,23.0,7536.0,7536.0,0.0,7536.0,7536.0,10976.0,2744.0,4535.809593299378,9529.0,38.0,0,0,0,0,64,176,182.21574344023324,455.5393586005831,0.0,233.0,55.37500000000001,102.71866918919852,10551.125000000002,0,1,0,0,0,0,0,0,2.0,63.285714285714285,116.5,42.0,0,0,0,0,0,0,2,233,5,210,-1,508,1,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-33738-80-6,192.168.56.10,33738,192.168.56.11,80,6,04/01/2026 12:44:38 PM,3645,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.6968449931413,3645.0,0.0,3645.0,3645.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,274.34842249657066,274.34842249657066,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-33754-80-6,192.168.56.10,33754,192.168.56.11,80,6,04/01/2026 12:44:38 PM,10637,3,5,239.0,212.0,239.0,0.0,79.66666666666666,137.98671433632057,212.0,0.0,42.4,94.80928224599108,42399.172699069284,752.0917551941336,1519.5714285714284,1437.7348917820764,4015.0,34.0,7032.0,3516.0,705.6925676241744,4015.0,3017.0,10637.0,2659.25,2875.0034637660297,6741.0,34.0,0,0,0,0,96,176,282.03440819780013,470.05734699633354,0.0,239.0,50.111111111111114,99.66499441183505,9933.111111111111,0,1,0,0,0,0,0,0,1.0,56.375,79.66666666666667,42.4,0,0,0,0,0,0,3,239,5,212,-1,508,1,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-33766-80-6,192.168.56.10,33766,192.168.56.11,80,6,04/01/2026 12:44:38 PM,20318,2,5,236.0,211.0,236.0,0.0,118.0,166.87720036002523,211.0,0.0,42.2,94.36206865049112,22000.196869770647,344.5220986317551,3386.333333333333,6150.033419963396,15867.0,32.0,15867.0,15867.0,0.0,15867.0,15867.0,20318.0,5079.5,8396.687779515603,17636.0,32.0,0,0,0,0,64,176,98.4348853233586,246.0872133083965,0.0,236.0,55.875,103.67592019640544,10748.69642857143,0,1,0,0,0,0,0,0,2.0,63.857142857142854,118.0,42.2,0,0,0,0,0,0,2,236,5,211,-1,508,1,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-33766-80-6,192.168.56.10,33766,192.168.56.11,80,6,04/01/2026 12:44:38 PM,1712,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168.2242990654206,1712.0,0.0,1712.0,1712.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,584.1121495327103,584.1121495327103,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-33774-80-6,192.168.56.10,33774,192.168.56.11,80,6,04/01/2026 12:44:38 PM,21865,2,5,323.0,323.0,323.0,0.0,161.5,228.39549032325485,323.0,0.0,64.6,144.4499913464864,29544.934827349647,320.14635261833985,3644.1666666666665,6289.871585864585,16312.0,35.0,16312.0,16312.0,0.0,16312.0,16312.0,21865.0,5466.25,8959.289085450177,18843.0,35.0,0,0,0,0,64,176,91.4703864623828,228.675966155957,0.0,323.0,80.75,149.51994611326705,22356.214285714286,0,1,0,0,0,0,0,0,2.0,92.28571428571429,161.5,64.6,0,0,0,0,0,0,2,323,5,323,-1,507,1,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-33774-80-6,192.168.56.10,33774,192.168.56.11,80,6,04/01/2026 12:44:38 PM,2077,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.9272989889264,2077.0,0.0,2077.0,2077.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,481.4636494944632,481.4636494944632,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
